"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"01/17/2024 00:00:00","EST","CAPITL",61757,1379.3036
"01/17/2024 00:00:00","EST","CENTRL",61754,1888.9338
"01/17/2024 00:00:00","EST","DUNWOD",61760,633.7163
"01/17/2024 00:00:00","EST","GENESE",61753,1151.5592
"01/17/2024 00:00:00","EST","HUD VL",61758,1166.0725
"01/17/2024 00:00:00","EST","LONGIL",61762,2186.2265
"01/17/2024 00:00:00","EST","MHK VL",61756,994.9413
"01/17/2024 00:00:00","EST","MILLWD",61759,363.0984
"01/17/2024 00:00:00","EST","N.Y.C.",61761,5421.5757
"01/17/2024 00:00:00","EST","NORTH",61755,759.6621
"01/17/2024 00:00:00","EST","WEST",61752,1761.8361
"01/17/2024 01:00:00","EST","CAPITL",61757,1359.2057
"01/17/2024 01:00:00","EST","CENTRL",61754,1869.7911
"01/17/2024 01:00:00","EST","DUNWOD",61760,613.559
"01/17/2024 01:00:00","EST","GENESE",61753,1129.1734
"01/17/2024 01:00:00","EST","HUD VL",61758,1149.4428
"01/17/2024 01:00:00","EST","LONGIL",61762,2126.6482
"01/17/2024 01:00:00","EST","MHK VL",61756,983.2422
"01/17/2024 01:00:00","EST","MILLWD",61759,358.4997
"01/17/2024 01:00:00","EST","N.Y.C.",61761,5246.5713
"01/17/2024 01:00:00","EST","NORTH",61755,757.7871
"01/17/2024 01:00:00","EST","WEST",61752,1735.5374
"01/17/2024 02:00:00","EST","CAPITL",61757,1355.5751
"01/17/2024 02:00:00","EST","CENTRL",61754,1849.5296
"01/17/2024 02:00:00","EST","DUNWOD",61760,602.9912
"01/17/2024 02:00:00","EST","GENESE",61753,1121.2208
"01/17/2024 02:00:00","EST","HUD VL",61758,1139.5838
"01/17/2024 02:00:00","EST","LONGIL",61762,2092.4424
"01/17/2024 02:00:00","EST","MHK VL",61756,982.4007
"01/17/2024 02:00:00","EST","MILLWD",61759,355.5272
"01/17/2024 02:00:00","EST","N.Y.C.",61761,5135.8008
"01/17/2024 02:00:00","EST","NORTH",61755,750.7943
"01/17/2024 02:00:00","EST","WEST",61752,1718.0399
"01/17/2024 03:00:00","EST","CAPITL",61757,1373.6517
"01/17/2024 03:00:00","EST","CENTRL",61754,1864.9733
"01/17/2024 03:00:00","EST","DUNWOD",61760,599.1465
"01/17/2024 03:00:00","EST","GENESE",61753,1126.0729
"01/17/2024 03:00:00","EST","HUD VL",61758,1140.3074
"01/17/2024 03:00:00","EST","LONGIL",61762,2083.9934
"01/17/2024 03:00:00","EST","MHK VL",61756,982.5517
"01/17/2024 03:00:00","EST","MILLWD",61759,355.4203
"01/17/2024 03:00:00","EST","N.Y.C.",61761,5095.8692
"01/17/2024 03:00:00","EST","NORTH",61755,738.9042
"01/17/2024 03:00:00","EST","WEST",61752,1721.1807
"01/17/2024 04:00:00","EST","CAPITL",61757,1404.9403
"01/17/2024 04:00:00","EST","CENTRL",61754,1908.6835
"01/17/2024 04:00:00","EST","DUNWOD",61760,605.6828
"01/17/2024 04:00:00","EST","GENESE",61753,1150.6284
"01/17/2024 04:00:00","EST","HUD VL",61758,1159.4972
"01/17/2024 04:00:00","EST","LONGIL",61762,2124.3175
"01/17/2024 04:00:00","EST","MHK VL",61756,1001.1272
"01/17/2024 04:00:00","EST","MILLWD",61759,362.7023
"01/17/2024 04:00:00","EST","N.Y.C.",61761,5153.3919
"01/17/2024 04:00:00","EST","NORTH",61755,741.342
"01/17/2024 04:00:00","EST","WEST",61752,1723.6328
"01/17/2024 05:00:00","EST","CAPITL",61757,1463.6004
"01/17/2024 05:00:00","EST","CENTRL",61754,1986.6607
"01/17/2024 05:00:00","EST","DUNWOD",61760,641.1674
"01/17/2024 05:00:00","EST","GENESE",61753,1212.122
"01/17/2024 05:00:00","EST","HUD VL",61758,1216.2077
"01/17/2024 05:00:00","EST","LONGIL",61762,2242.9333
"01/17/2024 05:00:00","EST","MHK VL",61756,1062.7118
"01/17/2024 05:00:00","EST","MILLWD",61759,381.4431
"01/17/2024 05:00:00","EST","N.Y.C.",61761,5379.2929
"01/17/2024 05:00:00","EST","NORTH",61755,767.7462
"01/17/2024 05:00:00","EST","WEST",61752,1758.8666
"01/17/2024 06:00:00","EST","CAPITL",61757,1588.0329
"01/17/2024 06:00:00","EST","CENTRL",61754,2170.2161
"01/17/2024 06:00:00","EST","DUNWOD",61760,704.687
"01/17/2024 06:00:00","EST","GENESE",61753,1307.8713
"01/17/2024 06:00:00","EST","HUD VL",61758,1301.8074
"01/17/2024 06:00:00","EST","LONGIL",61762,2427.7505
"01/17/2024 06:00:00","EST","MHK VL",61756,1165.286
"01/17/2024 06:00:00","EST","MILLWD",61759,415.7179
"01/17/2024 06:00:00","EST","N.Y.C.",61761,5874.6736
"01/17/2024 06:00:00","EST","NORTH",61755,732.3113
"01/17/2024 06:00:00","EST","WEST",61752,1804.5838
