"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"06/23/2024 00:00:00","EDT","CAPITL",61757,1431.7621
"06/23/2024 00:00:00","EDT","CENTRL",61754,1859.4305
"06/23/2024 00:00:00","EDT","DUNWOD",61760,796.5483
"06/23/2024 00:00:00","EDT","GENESE",61753,1232.8834
"06/23/2024 00:00:00","EDT","HUD VL",61758,1329.1345
"06/23/2024 00:00:00","EDT","LONGIL",61762,2874.3694
"06/23/2024 00:00:00","EDT","MHK VL",61756,858.545
"06/23/2024 00:00:00","EDT","MILLWD",61759,382.3946
"06/23/2024 00:00:00","EDT","N.Y.C.",61761,6904.6554
"06/23/2024 00:00:00","EDT","NORTH",61755,596.7958
"06/23/2024 00:00:00","EDT","WEST",61752,2106.1863
"06/23/2024 01:00:00","EDT","CAPITL",61757,1369.5939
"06/23/2024 01:00:00","EDT","CENTRL",61754,1762.6689
"06/23/2024 01:00:00","EDT","DUNWOD",61760,749.6738
"06/23/2024 01:00:00","EDT","GENESE",61753,1190.846
"06/23/2024 01:00:00","EDT","HUD VL",61758,1243.7448
"06/23/2024 01:00:00","EDT","LONGIL",61762,2700.8516
"06/23/2024 01:00:00","EDT","MHK VL",61756,825.1083
"06/23/2024 01:00:00","EDT","MILLWD",61759,351.548
"06/23/2024 01:00:00","EDT","N.Y.C.",61761,6604.4376
"06/23/2024 01:00:00","EDT","NORTH",61755,587.7237
"06/23/2024 01:00:00","EDT","WEST",61752,2038.9432
"06/23/2024 02:00:00","EDT","CAPITL",61757,1333.1375
"06/23/2024 02:00:00","EDT","CENTRL",61754,1713.5798
"06/23/2024 02:00:00","EDT","DUNWOD",61760,714.0058
"06/23/2024 02:00:00","EDT","GENESE",61753,1162.4476
"06/23/2024 02:00:00","EDT","HUD VL",61758,1181.9488
"06/23/2024 02:00:00","EDT","LONGIL",61762,2560.8084
"06/23/2024 02:00:00","EDT","MHK VL",61756,799.2068
"06/23/2024 02:00:00","EDT","MILLWD",61759,326.3777
"06/23/2024 02:00:00","EDT","N.Y.C.",61761,6359.4556
"06/23/2024 02:00:00","EDT","NORTH",61755,586.2336
"06/23/2024 02:00:00","EDT","WEST",61752,2001.7617
"06/23/2024 03:00:00","EDT","CAPITL",61757,1309.5849
"06/23/2024 03:00:00","EDT","CENTRL",61754,1690.98
"06/23/2024 03:00:00","EDT","DUNWOD",61760,686.2339
"06/23/2024 03:00:00","EDT","GENESE",61753,1152.1303
"06/23/2024 03:00:00","EDT","HUD VL",61758,1140.682
"06/23/2024 03:00:00","EDT","LONGIL",61762,2450.3943
"06/23/2024 03:00:00","EDT","MHK VL",61756,784.3567
"06/23/2024 03:00:00","EDT","MILLWD",61759,306.0335
"06/23/2024 03:00:00","EDT","N.Y.C.",61761,6180.7595
"06/23/2024 03:00:00","EDT","NORTH",61755,596.0762
"06/23/2024 03:00:00","EDT","WEST",61752,1973.7558
"06/23/2024 04:00:00","EDT","CAPITL",61757,1302.5966
"06/23/2024 04:00:00","EDT","CENTRL",61754,1677.9922
"06/23/2024 04:00:00","EDT","DUNWOD",61760,664.9471
"06/23/2024 04:00:00","EDT","GENESE",61753,1145.9638
"06/23/2024 04:00:00","EDT","HUD VL",61758,1113.6228
"06/23/2024 04:00:00","EDT","LONGIL",61762,2389.4387
"06/23/2024 04:00:00","EDT","MHK VL",61756,781.0518
"06/23/2024 04:00:00","EDT","MILLWD",61759,295.296
"06/23/2024 04:00:00","EDT","N.Y.C.",61761,6062.6684
"06/23/2024 04:00:00","EDT","NORTH",61755,603.091
"06/23/2024 04:00:00","EDT","WEST",61752,1957.3526
"06/23/2024 05:00:00","EDT","CAPITL",61757,1299.067
"06/23/2024 05:00:00","EDT","CENTRL",61754,1681.4659
"06/23/2024 05:00:00","EDT","DUNWOD",61760,652.916
"06/23/2024 05:00:00","EDT","GENESE",61753,1148.3644
"06/23/2024 05:00:00","EDT","HUD VL",61758,1109.6819
"06/23/2024 05:00:00","EDT","LONGIL",61762,2354.9911
"06/23/2024 05:00:00","EDT","MHK VL",61756,786.7094
"06/23/2024 05:00:00","EDT","MILLWD",61759,293.1549
"06/23/2024 05:00:00","EDT","N.Y.C.",61761,6005.7894
"06/23/2024 05:00:00","EDT","NORTH",61755,598.4483
"06/23/2024 05:00:00","EDT","WEST",61752,1940.4014
"06/23/2024 06:00:00","EDT","CAPITL",61757,1296.3599
"06/23/2024 06:00:00","EDT","CENTRL",61754,1677.4013
"06/23/2024 06:00:00","EDT","DUNWOD",61760,663.5929
"06/23/2024 06:00:00","EDT","GENESE",61753,1149.5073
"06/23/2024 06:00:00","EDT","HUD VL",61758,1111.0193
"06/23/2024 06:00:00","EDT","LONGIL",61762,2364.9863
"06/23/2024 06:00:00","EDT","MHK VL",61756,798.3601
