"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"06/30/2025 00:00:00","EDT","CAPITL",61757,1286.3849
"06/30/2025 00:00:00","EDT","CENTRL",61754,1633.9167
"06/30/2025 00:00:00","EDT","DUNWOD",61760,793.3438
"06/30/2025 00:00:00","EDT","GENESE",61753,1052.2911
"06/30/2025 00:00:00","EDT","HUD VL",61758,1170.786
"06/30/2025 00:00:00","EDT","LONGIL",61762,2947.3028
"06/30/2025 00:00:00","EDT","MHK VL",61756,768.1125
"06/30/2025 00:00:00","EDT","MILLWD",61759,325.1112
"06/30/2025 00:00:00","EDT","N.Y.C.",61761,7007.3034
"06/30/2025 00:00:00","EDT","NORTH",61755,572.5117
"06/30/2025 00:00:00","EDT","WEST",61752,1762.6952
"06/30/2025 01:00:00","EDT","CAPITL",61757,1232.8649
"06/30/2025 01:00:00","EDT","CENTRL",61754,1550.0755
"06/30/2025 01:00:00","EDT","DUNWOD",61760,745.0521
"06/30/2025 01:00:00","EDT","GENESE",61753,997.8525
"06/30/2025 01:00:00","EDT","HUD VL",61758,1086.8853
"06/30/2025 01:00:00","EDT","LONGIL",61762,2726.9046
"06/30/2025 01:00:00","EDT","MHK VL",61756,731.7262
"06/30/2025 01:00:00","EDT","MILLWD",61759,299.6914
"06/30/2025 01:00:00","EDT","N.Y.C.",61761,6703.7121
"06/30/2025 01:00:00","EDT","NORTH",61755,545.1147
"06/30/2025 01:00:00","EDT","WEST",61752,1688.3607
"06/30/2025 02:00:00","EDT","CAPITL",61757,1247.1504
"06/30/2025 02:00:00","EDT","CENTRL",61754,1500.3182
"06/30/2025 02:00:00","EDT","DUNWOD",61760,697.7273
"06/30/2025 02:00:00","EDT","GENESE",61753,963.2718
"06/30/2025 02:00:00","EDT","HUD VL",61758,1022.279
"06/30/2025 02:00:00","EDT","LONGIL",61762,2563.435
"06/30/2025 02:00:00","EDT","MHK VL",61756,714.632
"06/30/2025 02:00:00","EDT","MILLWD",61759,286.307
"06/30/2025 02:00:00","EDT","N.Y.C.",61761,6473.4398
"06/30/2025 02:00:00","EDT","NORTH",61755,541.1601
"06/30/2025 02:00:00","EDT","WEST",61752,1639.2906
"06/30/2025 03:00:00","EDT","CAPITL",61757,1233.6104
"06/30/2025 03:00:00","EDT","CENTRL",61754,1465.0747
"06/30/2025 03:00:00","EDT","DUNWOD",61760,667.3129
"06/30/2025 03:00:00","EDT","GENESE",61753,943.2543
"06/30/2025 03:00:00","EDT","HUD VL",61758,991.0946
"06/30/2025 03:00:00","EDT","LONGIL",61762,2435.753
"06/30/2025 03:00:00","EDT","MHK VL",61756,704.0827
"06/30/2025 03:00:00","EDT","MILLWD",61759,270.0291
"06/30/2025 03:00:00","EDT","N.Y.C.",61761,6259.9895
"06/30/2025 03:00:00","EDT","NORTH",61755,534.3755
"06/30/2025 03:00:00","EDT","WEST",61752,1608.7349
"06/30/2025 04:00:00","EDT","CAPITL",61757,1227.9997
"06/30/2025 04:00:00","EDT","CENTRL",61754,1484.3544
"06/30/2025 04:00:00","EDT","DUNWOD",61760,655.9718
"06/30/2025 04:00:00","EDT","GENESE",61753,948.6835
"06/30/2025 04:00:00","EDT","HUD VL",61758,974.7017
"06/30/2025 04:00:00","EDT","LONGIL",61762,2367.7847
"06/30/2025 04:00:00","EDT","MHK VL",61756,708.9056
"06/30/2025 04:00:00","EDT","MILLWD",61759,267.2264
"06/30/2025 04:00:00","EDT","N.Y.C.",61761,6136.3876
"06/30/2025 04:00:00","EDT","NORTH",61755,536.4903
"06/30/2025 04:00:00","EDT","WEST",61752,1616.5596
"06/30/2025 05:00:00","EDT","CAPITL",61757,1251.9146
"06/30/2025 05:00:00","EDT","CENTRL",61754,1511.8726
"06/30/2025 05:00:00","EDT","DUNWOD",61760,662.0676
"06/30/2025 05:00:00","EDT","GENESE",61753,974.2523
"06/30/2025 05:00:00","EDT","HUD VL",61758,979.6807
"06/30/2025 05:00:00","EDT","LONGIL",61762,2361.011
"06/30/2025 05:00:00","EDT","MHK VL",61756,724.7699
"06/30/2025 05:00:00","EDT","MILLWD",61759,260.7218
"06/30/2025 05:00:00","EDT","N.Y.C.",61761,6204.5086
"06/30/2025 05:00:00","EDT","NORTH",61755,541.3922
"06/30/2025 05:00:00","EDT","WEST",61752,1652.3743
"06/30/2025 06:00:00","EDT","CAPITL",61757,1260.0636
"06/30/2025 06:00:00","EDT","CENTRL",61754,1589.826
"06/30/2025 06:00:00","EDT","DUNWOD",61760,700.2877
"06/30/2025 06:00:00","EDT","GENESE",61753,1018.0943
"06/30/2025 06:00:00","EDT","HUD VL",61758,1018.5086
"06/30/2025 06:00:00","EDT","LONGIL",61762,2454.9451
"06/30/2025 06:00:00","EDT","MHK VL",61756,734.0548
"06/30/2025 06:00:00","EDT","MILLWD",61759,275.8103
"06/30/2025 06:00:00","EDT","N.Y.C.",61761,6596.1228
"06/30/2025 06:00:00","EDT","NORTH",61755,543.4092
"06/30/2025 06:00:00","EDT","WEST",61752,1719.6156
"06/30/2025 07:00:00","EDT","CAPITL",61757,1278.3543
"06/30/2025 07:00:00","EDT","CENTRL",61754,1604.4796
"06/30/2025 07:00:00","EDT","DUNWOD",61760,758.5546
"06/30/2025 07:00:00","EDT","GENESE",61753,1044.2577
"06/30/2025 07:00:00","EDT","HUD VL",61758,1067.7089
"06/30/2025 07:00:00","EDT","LONGIL",61762,2661.2845
"06/30/2025 07:00:00","EDT","MHK VL",61756,692.3951
"06/30/2025 07:00:00","EDT","MILLWD",61759,299.9599
"06/30/2025 07:00:00","EDT","N.Y.C.",61761,7087.9235
"06/30/2025 07:00:00","EDT","NORTH",61755,535.2493
"06/30/2025 07:00:00","EDT","WEST",61752,1812.9654
"06/30/2025 08:00:00","EDT","CAPITL",61757,1224.8074
"06/30/2025 08:00:00","EDT","CENTRL",61754,1545.323
"06/30/2025 08:00:00","EDT","DUNWOD",61760,801.4936
"06/30/2025 08:00:00","EDT","GENESE",61753,1062.9573
"06/30/2025 08:00:00","EDT","HUD VL",61758,1108.4063
"06/30/2025 08:00:00","EDT","LONGIL",61762,2887.7682
"06/30/2025 08:00:00","EDT","MHK VL",61756,658.6367
"06/30/2025 08:00:00","EDT","MILLWD",61759,328.8103
"06/30/2025 08:00:00","EDT","N.Y.C.",61761,7557.4121
"06/30/2025 08:00:00","EDT","NORTH",61755,558.4056
"06/30/2025 08:00:00","EDT","WEST",61752,1903.1275
"06/30/2025 09:00:00","EDT","CAPITL",61757,1182.2807
"06/30/2025 09:00:00","EDT","CENTRL",61754,1547.3998
"06/30/2025 09:00:00","EDT","DUNWOD",61760,835.9927
"06/30/2025 09:00:00","EDT","GENESE",61753,1124.9892
"06/30/2025 09:00:00","EDT","HUD VL",61758,1149.9919
"06/30/2025 09:00:00","EDT","LONGIL",61762,3129.6302
"06/30/2025 09:00:00","EDT","MHK VL",61756,642.3195
"06/30/2025 09:00:00","EDT","MILLWD",61759,368.5716
"06/30/2025 09:00:00","EDT","N.Y.C.",61761,7966.0294
"06/30/2025 09:00:00","EDT","NORTH",61755,565.1925
"06/30/2025 09:00:00","EDT","WEST",61752,1965.5665
"06/30/2025 10:00:00","EDT","CAPITL",61757,1161.4786
"06/30/2025 10:00:00","EDT","CENTRL",61754,1622.0227
"06/30/2025 10:00:00","EDT","DUNWOD",61760,878.3907
"06/30/2025 10:00:00","EDT","GENESE",61753,1223.6387
"06/30/2025 10:00:00","EDT","HUD VL",61758,1207.3717
"06/30/2025 10:00:00","EDT","LONGIL",61762,3367.7939
"06/30/2025 10:00:00","EDT","MHK VL",61756,643.4832
"06/30/2025 10:00:00","EDT","MILLWD",61759,394.8518
"06/30/2025 10:00:00","EDT","N.Y.C.",61761,8291.6987
"06/30/2025 10:00:00","EDT","NORTH",61755,540.379
"06/30/2025 10:00:00","EDT","WEST",61752,2109.5728
"06/30/2025 11:00:00","EDT","CAPITL",61757,1270.4374
"06/30/2025 11:00:00","EDT","CENTRL",61754,1786.7283
"06/30/2025 11:00:00","EDT","DUNWOD",61760,915.6322
"06/30/2025 11:00:00","EDT","GENESE",61753,1337.3656
"06/30/2025 11:00:00","EDT","HUD VL",61758,1274.2865
"06/30/2025 11:00:00","EDT","LONGIL",61762,3656.382
"06/30/2025 11:00:00","EDT","MHK VL",61756,667.9733
"06/30/2025 11:00:00","EDT","MILLWD",61759,404.7642
"06/30/2025 11:00:00","EDT","N.Y.C.",61761,8621.2118
"06/30/2025 11:00:00","EDT","NORTH",61755,563.9606
"06/30/2025 11:00:00","EDT","WEST",61752,2224.9058
"06/30/2025 12:00:00","EDT","CAPITL",61757,1307.6012
"06/30/2025 12:00:00","EDT","CENTRL",61754,1898.6066
"06/30/2025 12:00:00","EDT","DUNWOD",61760,966.5204
"06/30/2025 12:00:00","EDT","GENESE",61753,1438.5243
"06/30/2025 12:00:00","EDT","HUD VL",61758,1414.2241
"06/30/2025 12:00:00","EDT","LONGIL",61762,3953.3243
"06/30/2025 12:00:00","EDT","MHK VL",61756,712.0699
"06/30/2025 12:00:00","EDT","MILLWD",61759,449.1796
"06/30/2025 12:00:00","EDT","N.Y.C.",61761,8828.3854
"06/30/2025 12:00:00","EDT","NORTH",61755,577.5496
"06/30/2025 12:00:00","EDT","WEST",61752,2278.4897
"06/30/2025 13:00:00","EDT","CAPITL",61757,1393.9456
"06/30/2025 13:00:00","EDT","CENTRL",61754,1980.4217
"06/30/2025 13:00:00","EDT","DUNWOD",61760,995.3341
"06/30/2025 13:00:00","EDT","GENESE",61753,1584.7384
"06/30/2025 13:00:00","EDT","HUD VL",61758,1503.5504
"06/30/2025 13:00:00","EDT","LONGIL",61762,4143.8098
"06/30/2025 13:00:00","EDT","MHK VL",61756,762.9724
"06/30/2025 13:00:00","EDT","MILLWD",61759,477.983
"06/30/2025 13:00:00","EDT","N.Y.C.",61761,9038.9722
"06/30/2025 13:00:00","EDT","NORTH",61755,569.6296
"06/30/2025 13:00:00","EDT","WEST",61752,2349.2195
"06/30/2025 14:00:00","EDT","CAPITL",61757,1477.4503
"06/30/2025 14:00:00","EDT","CENTRL",61754,2045.5773
"06/30/2025 14:00:00","EDT","DUNWOD",61760,1035.0744
"06/30/2025 14:00:00","EDT","GENESE",61753,1659.1309
"06/30/2025 14:00:00","EDT","HUD VL",61758,1598.4147
"06/30/2025 14:00:00","EDT","LONGIL",61762,4222.025
"06/30/2025 14:00:00","EDT","MHK VL",61756,803.8126
"06/30/2025 14:00:00","EDT","MILLWD",61759,506.4504
"06/30/2025 14:00:00","EDT","N.Y.C.",61761,9089.8283
"06/30/2025 14:00:00","EDT","NORTH",61755,571.3116
"06/30/2025 14:00:00","EDT","WEST",61752,2293.6137
