"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"05/21/2024 00:00:00","EDT","CAPITL",61757,1180.3272
"05/21/2024 00:00:00","EDT","CENTRL",61754,1587.2116
"05/21/2024 00:00:00","EDT","DUNWOD",61760,423.7109
"05/21/2024 00:00:00","EDT","GENESE",61753,1001.7038
"05/21/2024 00:00:00","EDT","HUD VL",61758,902.4551
"05/21/2024 00:00:00","EDT","LONGIL",61762,1806.5263
"05/21/2024 00:00:00","EDT","MHK VL",61756,690.954
"05/21/2024 00:00:00","EDT","MILLWD",61759,231.7031
"05/21/2024 00:00:00","EDT","N.Y.C.",61761,4355.9694
"05/21/2024 00:00:00","EDT","NORTH",61755,601.1526
"05/21/2024 00:00:00","EDT","WEST",61752,1714.8621
"05/21/2024 01:00:00","EDT","CAPITL",61757,1139.226
"05/21/2024 01:00:00","EDT","CENTRL",61754,1489.3795
"05/21/2024 01:00:00","EDT","DUNWOD",61760,459.8371
"05/21/2024 01:00:00","EDT","GENESE",61753,946.1097
"05/21/2024 01:00:00","EDT","HUD VL",61758,848.3619
"05/21/2024 01:00:00","EDT","LONGIL",61762,1657.9393
"05/21/2024 01:00:00","EDT","MHK VL",61756,669.8457
"05/21/2024 01:00:00","EDT","MILLWD",61759,229.7811
"05/21/2024 01:00:00","EDT","N.Y.C.",61761,4151.7744
"05/21/2024 01:00:00","EDT","NORTH",61755,593.7749
"05/21/2024 01:00:00","EDT","WEST",61752,1640.6971
"05/21/2024 02:00:00","EDT","CAPITL",61757,1120.8302
"05/21/2024 02:00:00","EDT","CENTRL",61754,1435.5571
"05/21/2024 02:00:00","EDT","DUNWOD",61760,449.7411
"05/21/2024 02:00:00","EDT","GENESE",61753,909.2961
"05/21/2024 02:00:00","EDT","HUD VL",61758,808.7541
"05/21/2024 02:00:00","EDT","LONGIL",61762,1587.2796
"05/21/2024 02:00:00","EDT","MHK VL",61756,658.2976
"05/21/2024 02:00:00","EDT","MILLWD",61759,216.3357
