"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"01/19/2024 00:00:00","EST","CAPITL",61757,1386.3179
"01/19/2024 00:00:00","EST","CENTRL",61754,1944.2385
"01/19/2024 00:00:00","EST","DUNWOD",61760,619.3534
"01/19/2024 00:00:00","EST","GENESE",61753,1098.1653
"01/19/2024 00:00:00","EST","HUD VL",61758,1157.6148
"01/19/2024 00:00:00","EST","LONGIL",61762,2099.2443
"01/19/2024 00:00:00","EST","MHK VL",61756,994.8493
"01/19/2024 00:00:00","EST","MILLWD",61759,337.9129
"01/19/2024 00:00:00","EST","N.Y.C.",61761,5273.582
"01/19/2024 00:00:00","EST","NORTH",61755,740.0577
"01/19/2024 00:00:00","EST","WEST",61752,1690.295
"01/19/2024 01:00:00","EST","CAPITL",61757,1358.3161
"01/19/2024 01:00:00","EST","CENTRL",61754,1905.5282
"01/19/2024 01:00:00","EST","DUNWOD",61760,596.364
"01/19/2024 01:00:00","EST","GENESE",61753,1068.6586
"01/19/2024 01:00:00","EST","HUD VL",61758,1125.2898
"01/19/2024 01:00:00","EST","LONGIL",61762,2020.7627
"01/19/2024 01:00:00","EST","MHK VL",61756,974.3206
"01/19/2024 01:00:00","EST","MILLWD",61759,329.6447
"01/19/2024 01:00:00","EST","N.Y.C.",61761,5079.8329
"01/19/2024 01:00:00","EST","NORTH",61755,733.0109
"01/19/2024 01:00:00","EST","WEST",61752,1657.9961
"01/19/2024 02:00:00","EST","CAPITL",61757,1346.0265
"01/19/2024 02:00:00","EST","CENTRL",61754,1894.8673
"01/19/2024 02:00:00","EST","DUNWOD",61760,583.9961
"01/19/2024 02:00:00","EST","GENESE",61753,1050.217
"01/19/2024 02:00:00","EST","HUD VL",61758,1104.1769
"01/19/2024 02:00:00","EST","LONGIL",61762,1975.9617
"01/19/2024 02:00:00","EST","MHK VL",61756,968.6404
"01/19/2024 02:00:00","EST","MILLWD",61759,328.4722
"01/19/2024 02:00:00","EST","N.Y.C.",61761,4953.7307
"01/19/2024 02:00:00","EST","NORTH",61755,730.3495
"01/19/2024 02:00:00","EST","WEST",61752,1645.5539
"01/19/2024 03:00:00","EST","CAPITL",61757,1348.0653
"01/19/2024 03:00:00","EST","CENTRL",61754,1910.8527
"01/19/2024 03:00:00","EST","DUNWOD",61760,573.4208
"01/19/2024 03:00:00","EST","GENESE",61753,1060.7422
"01/19/2024 03:00:00","EST","HUD VL",61758,1101.0018
"01/19/2024 03:00:00","EST","LONGIL",61762,1955.9135
"01/19/2024 03:00:00","EST","MHK VL",61756,957.2951
"01/19/2024 03:00:00","EST","MILLWD",61759,325.7411
"01/19/2024 03:00:00","EST","N.Y.C.",61761,4895.1214
"01/19/2024 03:00:00","EST","NORTH",61755,732.2434
"01/19/2024 03:00:00","EST","WEST",61752,1655.0166
"01/19/2024 04:00:00","EST","CAPITL",61757,1373.5468
"01/19/2024 04:00:00","EST","CENTRL",61754,1943.1659
"01/19/2024 04:00:00","EST","DUNWOD",61760,580.8613
"01/19/2024 04:00:00","EST","GENESE",61753,1079.0169
"01/19/2024 04:00:00","EST","HUD VL",61758,1117.1385
"01/19/2024 04:00:00","EST","LONGIL",61762,1979.9744
"01/19/2024 04:00:00","EST","MHK VL",61756,973.8722
"01/19/2024 04:00:00","EST","MILLWD",61759,330.0189
"01/19/2024 04:00:00","EST","N.Y.C.",61761,4930.5445
"01/19/2024 04:00:00","EST","NORTH",61755,733.9015
"01/19/2024 04:00:00","EST","WEST",61752,1677.2606
"01/19/2024 05:00:00","EST","CAPITL",61757,1432.2236
"01/19/2024 05:00:00","EST","CENTRL",61754,1985.0604
"01/19/2024 05:00:00","EST","DUNWOD",61760,608.7096
"01/19/2024 05:00:00","EST","GENESE",61753,1130.2053
"01/19/2024 05:00:00","EST","HUD VL",61758,1156.5359
"01/19/2024 05:00:00","EST","LONGIL",61762,2087.4387
"01/19/2024 05:00:00","EST","MHK VL",61756,1027.7663
"01/19/2024 05:00:00","EST","MILLWD",61759,354.5191
"01/19/2024 05:00:00","EST","N.Y.C.",61761,5149.5435
"01/19/2024 05:00:00","EST","NORTH",61755,746.9047
"01/19/2024 05:00:00","EST","WEST",61752,1730.8997
"01/19/2024 06:00:00","EST","CAPITL",61757,1543.0333
"01/19/2024 06:00:00","EST","CENTRL",61754,2170.0342
"01/19/2024 06:00:00","EST","DUNWOD",61760,672.8652
"01/19/2024 06:00:00","EST","GENESE",61753,1216.7293
"01/19/2024 06:00:00","EST","HUD VL",61758,1223.8032
