"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"01/29/2024 00:00:00","EST","CAPITL",61757,1184.2718
"01/29/2024 00:00:00","EST","CENTRL",61754,1717.6405
"01/29/2024 00:00:00","EST","DUNWOD",61760,534.7183
"01/29/2024 00:00:00","EST","GENESE",61753,996.8782
"01/29/2024 00:00:00","EST","HUD VL",61758,990.4068
"01/29/2024 00:00:00","EST","LONGIL",61762,1896.1558
"01/29/2024 00:00:00","EST","MHK VL",61756,809.1576
"01/29/2024 00:00:00","EST","MILLWD",61759,283.1353
"01/29/2024 00:00:00","EST","N.Y.C.",61761,4739.8606
"01/29/2024 00:00:00","EST","NORTH",61755,681.2539
"01/29/2024 00:00:00","EST","WEST",61752,1643.7045
"01/29/2024 01:00:00","EST","CAPITL",61757,1165.4035
"01/29/2024 01:00:00","EST","CENTRL",61754,1684.0876
"01/29/2024 01:00:00","EST","DUNWOD",61760,522.1838
"01/29/2024 01:00:00","EST","GENESE",61753,974.2747
"01/29/2024 01:00:00","EST","HUD VL",61758,962.3235
"01/29/2024 01:00:00","EST","LONGIL",61762,1822.3955
"01/29/2024 01:00:00","EST","MHK VL",61756,799.9856
"01/29/2024 01:00:00","EST","MILLWD",61759,276.0228
"01/29/2024 01:00:00","EST","N.Y.C.",61761,4571.6661
"01/29/2024 01:00:00","EST","NORTH",61755,675.5302
"01/29/2024 01:00:00","EST","WEST",61752,1621.8349
"01/29/2024 02:00:00","EST","CAPITL",61757,1162.7999
"01/29/2024 02:00:00","EST","CENTRL",61754,1682.8899
"01/29/2024 02:00:00","EST","DUNWOD",61760,512.6812
"01/29/2024 02:00:00","EST","GENESE",61753,965.727
"01/29/2024 02:00:00","EST","HUD VL",61758,948.0671
"01/29/2024 02:00:00","EST","LONGIL",61762,1779.8023
"01/29/2024 02:00:00","EST","MHK VL",61756,797.837
"01/29/2024 02:00:00","EST","MILLWD",61759,273.0064
"01/29/2024 02:00:00","EST","N.Y.C.",61761,4468.2722
"01/29/2024 02:00:00","EST","NORTH",61755,672.3404
"01/29/2024 02:00:00","EST","WEST",61752,1612.7681
"01/29/2024 03:00:00","EST","CAPITL",61757,1166.3837
"01/29/2024 03:00:00","EST","CENTRL",61754,1685.6828
"01/29/2024 03:00:00","EST","DUNWOD",61760,504.765
"01/29/2024 03:00:00","EST","GENESE",61753,968.3776
"01/29/2024 03:00:00","EST","HUD VL",61758,946.5513
"01/29/2024 03:00:00","EST","LONGIL",61762,1764.2401
"01/29/2024 03:00:00","EST","MHK VL",61756,798.1943
"01/29/2024 03:00:00","EST","MILLWD",61759,274.5993
"01/29/2024 03:00:00","EST","N.Y.C.",61761,4432.1375
"01/29/2024 03:00:00","EST","NORTH",61755,666.8614
"01/29/2024 03:00:00","EST","WEST",61752,1615.1448
"01/29/2024 04:00:00","EST","CAPITL",61757,1188.011
"01/29/2024 04:00:00","EST","CENTRL",61754,1721.4191
"01/29/2024 04:00:00","EST","DUNWOD",61760,508.8017
"01/29/2024 04:00:00","EST","GENESE",61753,988.9524
"01/29/2024 04:00:00","EST","HUD VL",61758,966.719
"01/29/2024 04:00:00","EST","LONGIL",61762,1810.1754
"01/29/2024 04:00:00","EST","MHK VL",61756,818.2741
"01/29/2024 04:00:00","EST","MILLWD",61759,280.0469
"01/29/2024 04:00:00","EST","N.Y.C.",61761,4481.7177
"01/29/2024 04:00:00","EST","NORTH",61755,669.6841
"01/29/2024 04:00:00","EST","WEST",61752,1643.2114
"01/29/2024 05:00:00","EST","CAPITL",61757,1246.7284
"01/29/2024 05:00:00","EST","CENTRL",61754,1815.6034
"01/29/2024 05:00:00","EST","DUNWOD",61760,539.4558
"01/29/2024 05:00:00","EST","GENESE",61753,1046.7995
"01/29/2024 05:00:00","EST","HUD VL",61758,1013.6003
"01/29/2024 05:00:00","EST","LONGIL",61762,1932.5098
"01/29/2024 05:00:00","EST","MHK VL",61756,872.343
"01/29/2024 05:00:00","EST","MILLWD",61759,302.7959
"01/29/2024 05:00:00","EST","N.Y.C.",61761,4711.055
"01/29/2024 05:00:00","EST","NORTH",61755,699.5073
"01/29/2024 05:00:00","EST","WEST",61752,1704.9085
"01/29/2024 06:00:00","EST","CAPITL",61757,1336.7617
"01/29/2024 06:00:00","EST","CENTRL",61754,1979.2754
"01/29/2024 06:00:00","EST","DUNWOD",61760,601.549
"01/29/2024 06:00:00","EST","GENESE",61753,1153.527
"01/29/2024 06:00:00","EST","HUD VL",61758,1102.0392
"01/29/2024 06:00:00","EST","LONGIL",61762,2127.0017
"01/29/2024 06:00:00","EST","MHK VL",61756,963.8284
"01/29/2024 06:00:00","EST","MILLWD",61759,328.7807
"01/29/2024 06:00:00","EST","N.Y.C.",61761,5156.5279
"01/29/2024 06:00:00","EST","NORTH",61755,719.2555
"01/29/2024 06:00:00","EST","WEST",61752,1821.0223
"01/29/2024 07:00:00","EST","CAPITL",61757,1426.9618
"01/29/2024 07:00:00","EST","CENTRL",61754,2099.7914
"01/29/2024 07:00:00","EST","DUNWOD",61760,658.1304
"01/29/2024 07:00:00","EST","GENESE",61753,1233.6809
"01/29/2024 07:00:00","EST","HUD VL",61758,1180.1407
"01/29/2024 07:00:00","EST","LONGIL",61762,2276.847
"01/29/2024 07:00:00","EST","MHK VL",61756,1014.6569
"01/29/2024 07:00:00","EST","MILLWD",61759,356.2777
"01/29/2024 07:00:00","EST","N.Y.C.",61761,5620.758
"01/29/2024 07:00:00","EST","NORTH",61755,749.7921
"01/29/2024 07:00:00","EST","WEST",61752,1915.5435
"01/29/2024 08:00:00","EST","CAPITL",61757,1468.4256
"01/29/2024 08:00:00","EST","CENTRL",61754,2132.6944
"01/29/2024 08:00:00","EST","DUNWOD",61760,678.0178
"01/29/2024 08:00:00","EST","GENESE",61753,1247.7891
"01/29/2024 08:00:00","EST","HUD VL",61758,1210.8719
"01/29/2024 08:00:00","EST","LONGIL",61762,2326.0269
"01/29/2024 08:00:00","EST","MHK VL",61756,1028.9721
"01/29/2024 08:00:00","EST","MILLWD",61759,362.4901
"01/29/2024 08:00:00","EST","N.Y.C.",61761,5913.651
"01/29/2024 08:00:00","EST","NORTH",61755,750.2636
"01/29/2024 08:00:00","EST","WEST",61752,1955.7623
"01/29/2024 09:00:00","EST","CAPITL",61757,1482.2019
"01/29/2024 09:00:00","EST","CENTRL",61754,2140.9413
"01/29/2024 09:00:00","EST","DUNWOD",61760,679.7853
"01/29/2024 09:00:00","EST","GENESE",61753,1263.1634
"01/29/2024 09:00:00","EST","HUD VL",61758,1225.3937
"01/29/2024 09:00:00","EST","LONGIL",61762,2304.7461
"01/29/2024 09:00:00","EST","MHK VL",61756,1029.2343
"01/29/2024 09:00:00","EST","MILLWD",61759,366.5126
"01/29/2024 09:00:00","EST","N.Y.C.",61761,6085.6893
"01/29/2024 09:00:00","EST","NORTH",61755,724.9716
"01/29/2024 09:00:00","EST","WEST",61752,1988.0833
"01/29/2024 10:00:00","EST","CAPITL",61757,1495.2436
"01/29/2024 10:00:00","EST","CENTRL",61754,2163.233
"01/29/2024 10:00:00","EST","DUNWOD",61760,687.1389
"01/29/2024 10:00:00","EST","GENESE",61753,1273.8148
"01/29/2024 10:00:00","EST","HUD VL",61758,1221.1469
"01/29/2024 10:00:00","EST","LONGIL",61762,2253.5552
"01/29/2024 10:00:00","EST","MHK VL",61756,1012.9157
"01/29/2024 10:00:00","EST","MILLWD",61759,367.4526
"01/29/2024 10:00:00","EST","N.Y.C.",61761,6185.5648
"01/29/2024 10:00:00","EST","NORTH",61755,723.1761
"01/29/2024 10:00:00","EST","WEST",61752,2011.0592
"01/29/2024 11:00:00","EST","CAPITL",61757,1504.9339
"01/29/2024 11:00:00","EST","CENTRL",61754,2164.5646
"01/29/2024 11:00:00","EST","DUNWOD",61760,689.548
"01/29/2024 11:00:00","EST","GENESE",61753,1277.3592
"01/29/2024 11:00:00","EST","HUD VL",61758,1217.5785
"01/29/2024 11:00:00","EST","LONGIL",61762,2302.069
"01/29/2024 11:00:00","EST","MHK VL",61756,1002.8099
"01/29/2024 11:00:00","EST","MILLWD",61759,361.129
