"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"11/10/2024 00:00:00","EST","CAPITL",61757,1153.9105
"11/10/2024 00:00:00","EST","CENTRL",61754,1459.0636
"11/10/2024 00:00:00","EST","DUNWOD",61760,531.4072
"11/10/2024 00:00:00","EST","GENESE",61753,890.5593
"11/10/2024 00:00:00","EST","HUD VL",61758,889.094
"11/10/2024 00:00:00","EST","LONGIL",61762,1731.3019
"11/10/2024 00:00:00","EST","MHK VL",61756,798.7216
"11/10/2024 00:00:00","EST","MILLWD",61759,262.1414
"11/10/2024 00:00:00","EST","N.Y.C.",61761,4271.2891
"11/10/2024 00:00:00","EST","NORTH",61755,617.2194
"11/10/2024 00:00:00","EST","WEST",61752,1495.1689
"11/10/2024 01:00:00","EST","CAPITL",61757,1135.2717
"11/10/2024 01:00:00","EST","CENTRL",61754,1419.9367
"11/10/2024 01:00:00","EST","DUNWOD",61760,514.7528
"11/10/2024 01:00:00","EST","GENESE",61753,873.7156
"11/10/2024 01:00:00","EST","HUD VL",61758,866.4107
"11/10/2024 01:00:00","EST","LONGIL",61762,1662.5257
"11/10/2024 01:00:00","EST","MHK VL",61756,778.9549
"11/10/2024 01:00:00","EST","MILLWD",61759,254.03
"11/10/2024 01:00:00","EST","N.Y.C.",61761,4104.6689
"11/10/2024 01:00:00","EST","NORTH",61755,614.6233
"11/10/2024 01:00:00","EST","WEST",61752,1463.0767
"11/10/2024 02:00:00","EST","CAPITL",61757,1115.8343
"11/10/2024 02:00:00","EST","CENTRL",61754,1413.0292
"11/10/2024 02:00:00","EST","DUNWOD",61760,500.8093
"11/10/2024 02:00:00","EST","GENESE",61753,858.9215
"11/10/2024 02:00:00","EST","HUD VL",61758,849.1401
"11/10/2024 02:00:00","EST","LONGIL",61762,1612.4653
"11/10/2024 02:00:00","EST","MHK VL",61756,773.1833
"11/10/2024 02:00:00","EST","MILLWD",61759,252.8576
"11/10/2024 02:00:00","EST","N.Y.C.",61761,3990.677
"11/10/2024 02:00:00","EST","NORTH",61755,608.7545
"11/10/2024 02:00:00","EST","WEST",61752,1444.0311
"11/10/2024 03:00:00","EST","CAPITL",61757,1114.6375
"11/10/2024 03:00:00","EST","CENTRL",61754,1435.956
"11/10/2024 03:00:00","EST","DUNWOD",61760,494.3844
"11/10/2024 03:00:00","EST","GENESE",61753,851.7668
"11/10/2024 03:00:00","EST","HUD VL",61758,845.1576
"11/10/2024 03:00:00","EST","LONGIL",61762,1595.471
"11/10/2024 03:00:00","EST","MHK VL",61756,765.017
"11/10/2024 03:00:00","EST","MILLWD",61759,249.2446
"11/10/2024 03:00:00","EST","N.Y.C.",61761,3913.1497
"11/10/2024 03:00:00","EST","NORTH",61755,611.9404
"11/10/2024 03:00:00","EST","WEST",61752,1434.9928
"11/10/2024 04:00:00","EST","CAPITL",61757,1127.3055
"11/10/2024 04:00:00","EST","CENTRL",61754,1438.0421
"11/10/2024 04:00:00","EST","DUNWOD",61760,493.2434
"11/10/2024 04:00:00","EST","GENESE",61753,850.9125
"11/10/2024 04:00:00","EST","HUD VL",61758,850.8044
"11/10/2024 04:00:00","EST","LONGIL",61762,1602.9834
"11/10/2024 04:00:00","EST","MHK VL",61756,768.7582
"11/10/2024 04:00:00","EST","MILLWD",61759,249.9674
"11/10/2024 04:00:00","EST","N.Y.C.",61761,3884.5241
"11/10/2024 04:00:00","EST","NORTH",61755,612.0513
"11/10/2024 04:00:00","EST","WEST",61752,1435.316
"11/10/2024 05:00:00","EST","CAPITL",61757,1155.2894
"11/10/2024 05:00:00","EST","CENTRL",61754,1465.8499
"11/10/2024 05:00:00","EST","DUNWOD",61760,502.2937
"11/10/2024 05:00:00","EST","GENESE",61753,866.1482
"11/10/2024 05:00:00","EST","HUD VL",61758,872.015
"11/10/2024 05:00:00","EST","LONGIL",61762,1640.125
"11/10/2024 05:00:00","EST","MHK VL",61756,788.9149
