"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"02/29/2024 00:00:00","EST","CAPITL",61757,1127.3848
"02/29/2024 00:00:00","EST","CENTRL",61754,1645.2623
"02/29/2024 00:00:00","EST","DUNWOD",61760,532.8341
"02/29/2024 00:00:00","EST","GENESE",61753,1011.3484
"02/29/2024 00:00:00","EST","HUD VL",61758,936.8395
"02/29/2024 00:00:00","EST","LONGIL",61762,1812.2665
"02/29/2024 00:00:00","EST","MHK VL",61756,838.2053
"02/29/2024 00:00:00","EST","MILLWD",61759,266.8019
"02/29/2024 00:00:00","EST","N.Y.C.",61761,4556.0982
"02/29/2024 00:00:00","EST","NORTH",61755,690.0703
"02/29/2024 00:00:00","EST","WEST",61752,1759.188
"02/29/2024 01:00:00","EST","CAPITL",61757,1102.6711
"02/29/2024 01:00:00","EST","CENTRL",61754,1620.8816
"02/29/2024 01:00:00","EST","DUNWOD",61760,526.7049
"02/29/2024 01:00:00","EST","GENESE",61753,999.5884
"02/29/2024 01:00:00","EST","HUD VL",61758,931.6726
"02/29/2024 01:00:00","EST","LONGIL",61762,1780.0036
"02/29/2024 01:00:00","EST","MHK VL",61756,827.0582
"02/29/2024 01:00:00","EST","MILLWD",61759,261.5063
"02/29/2024 01:00:00","EST","N.Y.C.",61761,4433.9875
"02/29/2024 01:00:00","EST","NORTH",61755,699.5687
"02/29/2024 01:00:00","EST","WEST",61752,1751.2475
"02/29/2024 02:00:00","EST","CAPITL",61757,1116.5278
"02/29/2024 02:00:00","EST","CENTRL",61754,1620.6676
"02/29/2024 02:00:00","EST","DUNWOD",61760,520.0326
"02/29/2024 02:00:00","EST","GENESE",61753,998.1581
"02/29/2024 02:00:00","EST","HUD VL",61758,931.6848
"02/29/2024 02:00:00","EST","LONGIL",61762,1770.2359
"02/29/2024 02:00:00","EST","MHK VL",61756,831.4919
"02/29/2024 02:00:00","EST","MILLWD",61759,262.7074
"02/29/2024 02:00:00","EST","N.Y.C.",61761,4363.1036
"02/29/2024 02:00:00","EST","NORTH",61755,703.8355
"02/29/2024 02:00:00","EST","WEST",61752,1724.0633
"02/29/2024 03:00:00","EST","CAPITL",61757,1132.8213
"02/29/2024 03:00:00","EST","CENTRL",61754,1615.6062
"02/29/2024 03:00:00","EST","DUNWOD",61760,517.5173
"02/29/2024 03:00:00","EST","GENESE",61753,1002.5418
"02/29/2024 03:00:00","EST","HUD VL",61758,945.4986
"02/29/2024 03:00:00","EST","LONGIL",61762,1780.3038
"02/29/2024 03:00:00","EST","MHK VL",61756,838.3343
"02/29/2024 03:00:00","EST","MILLWD",61759,263.5355
"02/29/2024 03:00:00","EST","N.Y.C.",61761,4352.9675
"02/29/2024 03:00:00","EST","NORTH",61755,712.9779
