"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"10/19/2024 00:00:00","EDT","CAPITL",61757,1099.3181
"10/19/2024 00:00:00","EDT","CENTRL",61754,1404.3646
"10/19/2024 00:00:00","EDT","DUNWOD",61760,514.5788
"10/19/2024 00:00:00","EDT","GENESE",61753,870.4689
"10/19/2024 00:00:00","EDT","HUD VL",61758,876.6667
"10/19/2024 00:00:00","EDT","LONGIL",61762,1702.2055
"10/19/2024 00:00:00","EDT","MHK VL",61756,716.2049
"10/19/2024 00:00:00","EDT","MILLWD",61759,245.1464
"10/19/2024 00:00:00","EDT","N.Y.C.",61761,4305.6521
"10/19/2024 00:00:00","EDT","NORTH",61755,573.2683
"10/19/2024 00:00:00","EDT","WEST",61752,1475.4887
"10/19/2024 01:00:00","EDT","CAPITL",61757,1068.2533
"10/19/2024 01:00:00","EDT","CENTRL",61754,1375.8562
"10/19/2024 01:00:00","EDT","DUNWOD",61760,491.0386
"10/19/2024 01:00:00","EDT","GENESE",61753,847.811
"10/19/2024 01:00:00","EDT","HUD VL",61758,843.5235
"10/19/2024 01:00:00","EDT","LONGIL",61762,1622.8276
"10/19/2024 01:00:00","EDT","MHK VL",61756,697.3241
"10/19/2024 01:00:00","EDT","MILLWD",61759,238.9744
"10/19/2024 01:00:00","EDT","N.Y.C.",61761,4125.4404
"10/19/2024 01:00:00","EDT","NORTH",61755,570.4606
"10/19/2024 01:00:00","EDT","WEST",61752,1448.6984
"10/19/2024 02:00:00","EDT","CAPITL",61757,1054.8797
"10/19/2024 02:00:00","EDT","CENTRL",61754,1351.8245
"10/19/2024 02:00:00","EDT","DUNWOD",61760,467.6678
"10/19/2024 02:00:00","EDT","GENESE",61753,835.3178
"10/19/2024 02:00:00","EDT","HUD VL",61758,825.3397
"10/19/2024 02:00:00","EDT","LONGIL",61762,1565.2647
"10/19/2024 02:00:00","EDT","MHK VL",61756,693.2703
"10/19/2024 02:00:00","EDT","MILLWD",61759,237.1462
"10/19/2024 02:00:00","EDT","N.Y.C.",61761,3994.4029
"10/19/2024 02:00:00","EDT","NORTH",61755,585.076
"10/19/2024 02:00:00","EDT","WEST",61752,1430.3805
"10/19/2024 03:00:00","EDT","CAPITL",61757,1049.3423
"10/19/2024 03:00:00","EDT","CENTRL",61754,1337.1383
"10/19/2024 03:00:00","EDT","DUNWOD",61760,453.1233
"10/19/2024 03:00:00","EDT","GENESE",61753,831.0224
"10/19/2024 03:00:00","EDT","HUD VL",61758,817.9129
"10/19/2024 03:00:00","EDT","LONGIL",61762,1542.016
"10/19/2024 03:00:00","EDT","MHK VL",61756,692.5877
"10/19/2024 03:00:00","EDT","MILLWD",61759,241.9857
"10/19/2024 03:00:00","EDT","N.Y.C.",61761,3911.6196
"10/19/2024 03:00:00","EDT","NORTH",61755,567.6885
"10/19/2024 03:00:00","EDT","WEST",61752,1421.9044
"10/19/2024 04:00:00","EDT","CAPITL",61757,1061.1829
"10/19/2024 04:00:00","EDT","CENTRL",61754,1370.1108
"10/19/2024 04:00:00","EDT","DUNWOD",61760,459.0403
"10/19/2024 04:00:00","EDT","GENESE",61753,837.3192
"10/19/2024 04:00:00","EDT","HUD VL",61758,829.7875
"10/19/2024 04:00:00","EDT","LONGIL",61762,1551.2721
"10/19/2024 04:00:00","EDT","MHK VL",61756,699.6538
"10/19/2024 04:00:00","EDT","MILLWD",61759,231.2841
"10/19/2024 04:00:00","EDT","N.Y.C.",61761,3883.3362
"10/19/2024 04:00:00","EDT","NORTH",61755,573.5117
"10/19/2024 04:00:00","EDT","WEST",61752,1432.1139
"10/19/2024 05:00:00","EDT","CAPITL",61757,1096.11
"10/19/2024 05:00:00","EDT","CENTRL",61754,1423.0099
"10/19/2024 05:00:00","EDT","DUNWOD",61760,473.531
"10/19/2024 05:00:00","EDT","GENESE",61753,861.652
"10/19/2024 05:00:00","EDT","HUD VL",61758,853.2236
"10/19/2024 05:00:00","EDT","LONGIL",61762,1590.3494
"10/19/2024 05:00:00","EDT","MHK VL",61756,728.8183
"10/19/2024 05:00:00","EDT","MILLWD",61759,235.3685
"10/19/2024 05:00:00","EDT","N.Y.C.",61761,3937.9861
"10/19/2024 05:00:00","EDT","NORTH",61755,582.9272
"10/19/2024 05:00:00","EDT","WEST",61752,1452.6776
"10/19/2024 06:00:00","EDT","CAPITL",61757,1147.5581
"10/19/2024 06:00:00","EDT","CENTRL",61754,1508.5542
"10/19/2024 06:00:00","EDT","DUNWOD",61760,498.1877
"10/19/2024 06:00:00","EDT","GENESE",61753,904.7964
"10/19/2024 06:00:00","EDT","HUD VL",61758,898.9446
"10/19/2024 06:00:00","EDT","LONGIL",61762,1683.6962
"10/19/2024 06:00:00","EDT","MHK VL",61756,771.8299
"10/19/2024 06:00:00","EDT","MILLWD",61759,251.9257
"10/19/2024 06:00:00","EDT","N.Y.C.",61761,4103.0366
"10/19/2024 06:00:00","EDT","NORTH",61755,592.3585
"10/19/2024 06:00:00","EDT","WEST",61752,1497.8034
"10/19/2024 07:00:00","EDT","CAPITL",61757,1194.2545
"10/19/2024 07:00:00","EDT","CENTRL",61754,1572.1937
"10/19/2024 07:00:00","EDT","DUNWOD",61760,517.6557
"10/19/2024 07:00:00","EDT","GENESE",61753,947.7645
"10/19/2024 07:00:00","EDT","HUD VL",61758,948.7992
"10/19/2024 07:00:00","EDT","LONGIL",61762,1749.9201
"10/19/2024 07:00:00","EDT","MHK VL",61756,811.8735
"10/19/2024 07:00:00","EDT","MILLWD",61759,266.3527
"10/19/2024 07:00:00","EDT","N.Y.C.",61761,4296.3862
"10/19/2024 07:00:00","EDT","NORTH",61755,603.9917
"10/19/2024 07:00:00","EDT","WEST",61752,1560.0148
"10/19/2024 08:00:00","EDT","CAPITL",61757,1140.1647
"10/19/2024 08:00:00","EDT","CENTRL",61754,1499.0563
"10/19/2024 08:00:00","EDT","DUNWOD",61760,535.8671
"10/19/2024 08:00:00","EDT","GENESE",61753,914.2429
"10/19/2024 08:00:00","EDT","HUD VL",61758,912.2144
"10/19/2024 08:00:00","EDT","LONGIL",61762,1759.2707
"10/19/2024 08:00:00","EDT","MHK VL",61756,757.1568
"10/19/2024 08:00:00","EDT","MILLWD",61759,275.5028
"10/19/2024 08:00:00","EDT","N.Y.C.",61761,4484.8433
"10/19/2024 08:00:00","EDT","NORTH",61755,600.3047
"10/19/2024 08:00:00","EDT","WEST",61752,1553.7537
"10/19/2024 09:00:00","EDT","CAPITL",61757,997.9617
"10/19/2024 09:00:00","EDT","CENTRL",61754,1309.2685
"10/19/2024 09:00:00","EDT","DUNWOD",61760,526.4042
"10/19/2024 09:00:00","EDT","GENESE",61753,806.3675
"10/19/2024 09:00:00","EDT","HUD VL",61758,785.6876
"10/19/2024 09:00:00","EDT","LONGIL",61762,1681.0305
"10/19/2024 09:00:00","EDT","MHK VL",61756,635.3564
"10/19/2024 09:00:00","EDT","MILLWD",61759,285.7969
"10/19/2024 09:00:00","EDT","N.Y.C.",61761,4613.269
"10/19/2024 09:00:00","EDT","NORTH",61755,601.3188
"10/19/2024 09:00:00","EDT","WEST",61752,1485.8764
"10/19/2024 10:00:00","EDT","CAPITL",61757,891.6585
"10/19/2024 10:00:00","EDT","CENTRL",61754,1161.4368
"10/19/2024 10:00:00","EDT","DUNWOD",61760,520.6908
"10/19/2024 10:00:00","EDT","GENESE",61753,744.9308
"10/19/2024 10:00:00","EDT","HUD VL",61758,687.2192
"10/19/2024 10:00:00","EDT","LONGIL",61762,1604.0942
"10/19/2024 10:00:00","EDT","MHK VL",61756,550.652
"10/19/2024 10:00:00","EDT","MILLWD",61759,281.0628
"10/19/2024 10:00:00","EDT","N.Y.C.",61761,4720.0874
"10/19/2024 10:00:00","EDT","NORTH",61755,590.0352
"10/19/2024 10:00:00","EDT","WEST",61752,1439.4457
"10/19/2024 11:00:00","EDT","CAPITL",61757,833.1643
"10/19/2024 11:00:00","EDT","CENTRL",61754,1081.767
"10/19/2024 11:00:00","EDT","DUNWOD",61760,520.259
"10/19/2024 11:00:00","EDT","GENESE",61753,720.5345
"10/19/2024 11:00:00","EDT","HUD VL",61758,620.1101
"10/19/2024 11:00:00","EDT","LONGIL",61762,1538.9685
"10/19/2024 11:00:00","EDT","MHK VL",61756,512.7118
"10/19/2024 11:00:00","EDT","MILLWD",61759,268.8084
"10/19/2024 11:00:00","EDT","N.Y.C.",61761,4788.5391
"10/19/2024 11:00:00","EDT","NORTH",61755,583.7616
"10/19/2024 11:00:00","EDT","WEST",61752,1409.2131
"10/19/2024 12:00:00","EDT","CAPITL",61757,804.5224
