"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"06/21/2025 00:00:00","EDT","CAPITL",61757,1203.1116
"06/21/2025 00:00:00","EDT","CENTRL",61754,1527.2687
"06/21/2025 00:00:00","EDT","DUNWOD",61760,715.5212
"06/21/2025 00:00:00","EDT","GENESE",61753,1014.1766
"06/21/2025 00:00:00","EDT","HUD VL",61758,1088.7529
"06/21/2025 00:00:00","EDT","LONGIL",61762,2531.0983
"06/21/2025 00:00:00","EDT","MHK VL",61756,730.9402
"06/21/2025 00:00:00","EDT","MILLWD",61759,301.2446
"06/21/2025 00:00:00","EDT","N.Y.C.",61761,5955.7732
"06/21/2025 00:00:00","EDT","NORTH",61755,555.6443
"06/21/2025 00:00:00","EDT","WEST",61752,1628.017
"06/21/2025 01:00:00","EDT","CAPITL",61757,1145.0431
"06/21/2025 01:00:00","EDT","CENTRL",61754,1458.8912
"06/21/2025 01:00:00","EDT","DUNWOD",61760,674.8212
"06/21/2025 01:00:00","EDT","GENESE",61753,964.8509
"06/21/2025 01:00:00","EDT","HUD VL",61758,1010.3244
"06/21/2025 01:00:00","EDT","LONGIL",61762,2328.7981
"06/21/2025 01:00:00","EDT","MHK VL",61756,696.054
"06/21/2025 01:00:00","EDT","MILLWD",61759,281.5209
"06/21/2025 01:00:00","EDT","N.Y.C.",61761,5669.954
"06/21/2025 01:00:00","EDT","NORTH",61755,548.3866
"06/21/2025 01:00:00","EDT","WEST",61752,1575.381
"06/21/2025 02:00:00","EDT","CAPITL",61757,1111.2443
"06/21/2025 02:00:00","EDT","CENTRL",61754,1407.118
"06/21/2025 02:00:00","EDT","DUNWOD",61760,635.8197
"06/21/2025 02:00:00","EDT","GENESE",61753,929.5253
"06/21/2025 02:00:00","EDT","HUD VL",61758,959.5718
"06/21/2025 02:00:00","EDT","LONGIL",61762,2188.4341
"06/21/2025 02:00:00","EDT","MHK VL",61756,667.8912
"06/21/2025 02:00:00","EDT","MILLWD",61759,256.4514
"06/21/2025 02:00:00","EDT","N.Y.C.",61761,5436.371
"06/21/2025 02:00:00","EDT","NORTH",61755,544.4177
"06/21/2025 02:00:00","EDT","WEST",61752,1542.7069
"06/21/2025 03:00:00","EDT","CAPITL",61757,1093.7811
"06/21/2025 03:00:00","EDT","CENTRL",61754,1412.5908
"06/21/2025 03:00:00","EDT","DUNWOD",61760,604.597
"06/21/2025 03:00:00","EDT","GENESE",61753,907.852
"06/21/2025 03:00:00","EDT","HUD VL",61758,924.2185
"06/21/2025 03:00:00","EDT","LONGIL",61762,2096.7462
"06/21/2025 03:00:00","EDT","MHK VL",61756,654.6056
"06/21/2025 03:00:00","EDT","MILLWD",61759,244.0152
"06/21/2025 03:00:00","EDT","N.Y.C.",61761,5291.3299
"06/21/2025 03:00:00","EDT","NORTH",61755,540.883
"06/21/2025 03:00:00","EDT","WEST",61752,1517.983
"06/21/2025 04:00:00","EDT","CAPITL",61757,1087.9217
"06/21/2025 04:00:00","EDT","CENTRL",61754,1407.9498
"06/21/2025 04:00:00","EDT","DUNWOD",61760,588.0272
"06/21/2025 04:00:00","EDT","GENESE",61753,898.5094
"06/21/2025 04:00:00","EDT","HUD VL",61758,903.8991
"06/21/2025 04:00:00","EDT","LONGIL",61762,2055.4536
"06/21/2025 04:00:00","EDT","MHK VL",61756,653.6329
"06/21/2025 04:00:00","EDT","MILLWD",61759,235.9168
"06/21/2025 04:00:00","EDT","N.Y.C.",61761,5207.2043
"06/21/2025 04:00:00","EDT","NORTH",61755,539.7011
"06/21/2025 04:00:00","EDT","WEST",61752,1507.6441
"06/21/2025 05:00:00","EDT","CAPITL",61757,1076.6335
"06/21/2025 05:00:00","EDT","CENTRL",61754,1403.5511
