"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"08/19/2024 00:00:00","EDT","CAPITL",61757,1250.0303
"08/19/2024 00:00:00","EDT","CENTRL",61754,1655.3467
"08/19/2024 00:00:00","EDT","DUNWOD",61760,672.0124
"08/19/2024 00:00:00","EDT","GENESE",61753,1096.6292
"08/19/2024 00:00:00","EDT","HUD VL",61758,1041.318
"08/19/2024 00:00:00","EDT","LONGIL",61762,2437.7636
"08/19/2024 00:00:00","EDT","MHK VL",61756,762.1409
"08/19/2024 00:00:00","EDT","MILLWD",61759,271.6627
"08/19/2024 00:00:00","EDT","N.Y.C.",61761,5959.8396
"08/19/2024 00:00:00","EDT","NORTH",61755,632.9339
"08/19/2024 00:00:00","EDT","WEST",61752,1744.325
"08/19/2024 01:00:00","EDT","CAPITL",61757,1215.6849
"08/19/2024 01:00:00","EDT","CENTRL",61754,1585.4539
"08/19/2024 01:00:00","EDT","DUNWOD",61760,641.4622
"08/19/2024 01:00:00","EDT","GENESE",61753,1057.1542
"08/19/2024 01:00:00","EDT","HUD VL",61758,990.7199
"08/19/2024 01:00:00","EDT","LONGIL",61762,2314.2394
"08/19/2024 01:00:00","EDT","MHK VL",61756,739.6536
"08/19/2024 01:00:00","EDT","MILLWD",61759,257.4663
"08/19/2024 01:00:00","EDT","N.Y.C.",61761,5753.0976
"08/19/2024 01:00:00","EDT","NORTH",61755,624.071
"08/19/2024 01:00:00","EDT","WEST",61752,1681.9468
"08/19/2024 02:00:00","EDT","CAPITL",61757,1207.0524
"08/19/2024 02:00:00","EDT","CENTRL",61754,1510.0641
"08/19/2024 02:00:00","EDT","DUNWOD",61760,615.8678
"08/19/2024 02:00:00","EDT","GENESE",61753,1032.0335
"08/19/2024 02:00:00","EDT","HUD VL",61758,953.0601
"08/19/2024 02:00:00","EDT","LONGIL",61762,2217.2421
"08/19/2024 02:00:00","EDT","MHK VL",61756,719.6857
"08/19/2024 02:00:00","EDT","MILLWD",61759,247.511
"08/19/2024 02:00:00","EDT","N.Y.C.",61761,5620.8547
"08/19/2024 02:00:00","EDT","NORTH",61755,612.595
"08/19/2024 02:00:00","EDT","WEST",61752,1630.0472
"08/19/2024 03:00:00","EDT","CAPITL",61757,1196.4334
"08/19/2024 03:00:00","EDT","CENTRL",61754,1497.7655
"08/19/2024 03:00:00","EDT","DUNWOD",61760,598.013
"08/19/2024 03:00:00","EDT","GENESE",61753,1014.7904
"08/19/2024 03:00:00","EDT","HUD VL",61758,928.6348
"08/19/2024 03:00:00","EDT","LONGIL",61762,2153.5567
"08/19/2024 03:00:00","EDT","MHK VL",61756,711.6601
"08/19/2024 03:00:00","EDT","MILLWD",61759,238.016
"08/19/2024 03:00:00","EDT","N.Y.C.",61761,5517.8266
